num_of_epochs,training_accuracy,training_loss,validation_accuracy,validation_loss
1.0,62.5,0.8581005930900574,74.2,0.6995593905448914
2.0,81.25,0.6443645358085632,74.2,0.45998796820640564
3.0,75.0,0.7089472413063049,76.92,0.5293349027633667
4.0,71.875,0.7741358280181885,75.36,0.7665698528289795
5.0,68.75,0.804360032081604,78.84,0.7985830307006836
6.0,65.625,0.781995415687561,83.08,0.7077813148498535
7.0,78.125,0.5456337332725525,82.19999999999999,0.6777713298797607
8.0,75.0,0.6325856447219849,84.39999999999999,0.5156769156455994
9.0,87.5,0.3164428174495697,81.36,0.22816771268844604
10.0,96.875,0.25589343905448914,83.88,0.23729567229747772
11.0,90.625,0.49604031443595886,84.11999999999999,0.3682369291782379
12.0,87.5,0.3739474415779114,84.24000000000001,1.379702091217041
13.0,84.375,0.4883909225463867,86.76,0.2476656138896942
14.0,84.375,0.4084005355834961,86.52,0.5432717800140381
15.0,93.75,0.3067035675048828,87.2,0.1779257357120514
16.0,84.375,0.40112391114234924,88.0,0.7640171647071838
17.0,87.5,0.30093562602996826,86.96000000000001,0.08328960090875626
18.0,90.625,0.3633570671081543,88.44,0.11680728942155838
19.0,81.25,0.4033295512199402,86.52,1.17795991897583
20.0,81.25,0.5297219157218933,89.08,0.04830670356750488
21.0,93.75,0.19629979133605957,88.28,0.21888835728168488
22.0,96.875,0.18891297280788422,84.64,0.18156813085079193
23.0,87.5,0.366946816444397,86.4,0.34731125831604004
24.0,90.625,0.43914759159088135,88.92,0.06066684424877167
25.0,100.0,0.08298683166503906,90.2,0.13527460396289825
26.0,93.75,0.16478455066680908,86.56,0.09933055937290192
27.0,93.75,0.27546921372413635,88.28,0.3026122748851776
28.0,93.75,0.1488436758518219,88.96,0.0037367683835327625
29.0,93.75,0.19163893163204193,89.92,0.04406219720840454
30.0,100.0,0.07610495388507843,90.12,0.016814755275845528
